Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Chronic Myeloid Leukemia,fatigue,weight_loss,night_sweats,fever,abdominal_fullness,,,,,,,,,,,,
Colorectal Cancer,change_in_bowel_habits,diarrhea,constipation,incomplete_bowel_emptying,narrow_stool,,,,,,,,,,,,
Crohns Disease,diarrhea,abdominal_cramping,abdominal_pain,weight_loss,,,,,,,,,,,,,
Cryptosporidiosis,dehydration,weight_loss,stomach_cramps,fever,nausea,vomiting,,,,,,,,,,,
Delirium,altered_alertness,changing_consciousness,confusion,disorganized_thinking,sleep_disruption,emotional_changes,hallucinations,delusions,memory_problems,trouble_concentrating,,,,,,,
Dementia,getting_lost,word_finding_difficulty,forgetting_familiar_names,memory_loss,needing_help_with_daily_tasks,,,,,,,,,,,,
Diabetic Heart Disease,shortness_of_breath,fatigue,dizziness,fainting,arrhythmia,swollen_feet,swollen_ankles,chest_pain,,,,,,,,,
Dislocated Shoulder,severe_shoulder_pain,shoulder_swelling,shoulder_bruising,numbness_in_arm,weakness_in_arm,trouble_moving_arm,visible_shoulder_deformity,muscle_spasms,,,,,,,,,
Diverticulosis and Diverticulitis,bloating,constipation,diarrhea,abdominal_cramping,abdominal_pain,,,,,,,,,,,,
Ebola,fever,headache,joint_pain,muscle_aches,weakness,fatigue,sore_throat,abdominal_pain,diarrhea,vomiting,loss_of_appetite,unexplained_bleeding,unexplained_bruising,,,,
Endocarditis,fever,chills,heart_murmur,chest_pain,cough,muscle_pain,joint_pain,back_pain,night_sweats,shortness_of_breath,skin_changes,red_bumps,purple_bumps,red_spots_on_palms,,,
Endometriosis,pelvic_pain,infertility,,,,,,,,,,,,,,,
Enlarged Prostate (BPH),frequent_urination,urgent_urination,nighttime_urination,weak_urine_stream,difficulty_starting_urination,urine_dribbling,urinary_incontinence,incomplete_bladder_emptying,,,,,,,,,
Fibromyalgia,chronic_pain,stiffness,fatigue,trouble_sleeping,,,,,,,,,,,,,
Flu,fever,chills,cough,sore_throat,runny_nose,stuffy_nose,muscle_aches,body_aches,headache,fatigue,,,,,,,
Fractures,intense_pain,deformity,swelling,bruising,tenderness,difficulty_moving_injured_area,,,,,,,,,,,
Head and Neck Cancer,neck_lump,non_healing_mouth_sore,non_healing_throat_sore,persistent_sore_throat,difficulty_swallowing,voice_changes,hoarseness,,,,,,,,,,
Head Lice,scalp_tickling,itching,sores_from_scratching,trouble_sleeping,,,,,,,,,,,,,
Heart Valve Diseases,shortness_of_breath,fatigue,swelling_in_feet,swelling_in_ankles,swelling_in_abdomen,chest_pain,arrhythmia,dizziness,fainting,,,,,,,,
Hemophilia,skin_bruising,muscle_bleeding,gum_bleeding,bleeding_after_tooth_loss,bleeding_after_circumcision,bleeding_after_vaccination,bleeding_in_infant_head,blood_in_urine,blood_in_stool,frequent_nosebleeds,,,,,,,
Hemorrhagic Stroke,sudden_numbness,sudden_weakness,sudden_confusion,speech_difficulty,trouble_understanding_speech,sudden_vision_trouble,sudden_walking_trouble,dizziness,loss_of_balance,sudden_severe_headache,,,,,,,
Hidradenitis Suppurativa,skin_blackheads,slow_healing_abscesses,scarring,skin_tunnels,,,,,,,,,,,,,
Histoplasmosis,fever,cough,fatigue,chills,headache,chest_pain,body_aches,,,,,,,,,,
HIV,fever,chills,rash,night_sweats,muscle_aches,sore_throat,fatigue,swollen_lymph_nodes,mouth_ulcers,,,,,,,,
Hodgkin Lymphoma,swollen_lymph_nodes,fever,night_sweats,weight_loss,itchy_skin,fatigue,,,,,,,,,,,
Infectious Mononucleosis,extreme_fatigue,fever,sore_throat,body_aches,swollen_lymph_glands,rash,swollen_liver,swollen_spleen,,,,,,,,,
Insomnia,difficulty_falling_asleep,short_sleep_periods,frequent_night_waking,feeling_unrested,early_waking,,,,,,,,,,,,
Ischemic Stroke,sudden_numbness,sudden_weakness,sudden_confusion,speech_difficulty,sudden_vision_trouble,sudden_walking_trouble,dizziness,loss_of_balance,sudden_severe_headache,,,,,,,,
Kaposi Sarcoma,leg_swelling,abdominal_pain,diarrhea,shortness_of_breath,,,,,,,,,,,,,
Kawasaki Disease,high_fever,rash,swollen_hands,swollen_feet,red_lips,red_mouth_lining,red_tongue,red_palms,red_soles,pink_eye,swollen_lymph_nodes,,,,,,
Leukemia,fatigue,fever,night_sweats,easy_bruising,easy_bleeding,weight_loss,loss_of_appetite,petechiae,,,,,,,,,
Leukodystrophies,muscle_tone_problems,balance_problems,mobility_problems,walking_difficulty,speech_difficulty,eating_difficulty,vision_problems,hearing_problems,behavior_changes,,,,,,,,
Lewy Body Dementia,dementia,visual_hallucinations,,,,,,,,,,,,,,,
Lyme Disease,fever,chills,headache,fatigue,muscle_aches,joint_aches,swollen_lymph_nodes,,,,,,,,,,
Menopause,irregular_periods,changed_period_length,changed_period_flow,,,,,,,,,,,,,,
Menstruation,abdominal_cramping,lower_back_pain,bloating,breast_tenderness,food_cravings,mood_swings,irritability,headaches,fatigue,,,,,,,,
Mitral Valve Prolapse,heart_palpitations,shortness_of_breath,cough,fatigue,dizziness,anxiety,migraines,chest_pain,,,,,,,,,
Mpox,fever,chills,swollen_lymph_nodes,exhaustion,headache,muscle_aches,back_ache,sore_throat,nasal_congestion,cough,,,,,,,
Myalgic Encephalomyelitis Chronic Fatigue Syndrome,post_exertional_malaise,sleep_problems,,,,,,,,,,,,,,,
Myasthenia Gravis,eye_muscle_weakness,drooping_eyelid,blurred_vision,double_vision,facial_expression_changes,difficulty_swallowing,shortness_of_breath,speech_problems,limb_weakness,,,,,,,,
Obsessive-Compulsive Disorder,fear_of_losing_things,intrusive_worries,unwanted_thoughts,aggressive_thoughts,need_for_symmetry,,,,,,,,,,,,
Oral Cancer,mouth_patch,non_healing_mouth_sore,mouth_bleeding,mouth_pain,mouth_numbness,loose_teeth,difficulty_swallowing,neck_lump,ear_pain,jaw_movement_difficulty,jaw_swelling,sore_throat,,,,,
Ovarian Disorders,pelvic_pain,nausea,diarrhea,abnormal_vaginal_bleeding,vaginal_discharge,painful_menstrual_cramps,,,,,,,,,,,
Panic Disorder,panic_attacks,fear_of_losing_control,fear_of_death,worry_about_future_attacks,avoidance_behavior,racing_heart,sweating,trembling,shaking,difficulty_breathing,choking_feeling,weakness,dizziness,chest_pain,stomach_pain,nausea,
Pelvic Inflammatory Disease,fever,foul_smelling_discharge,bleeding_between_periods,pain_during_sex,painful_urination,,,,,,,,,,,,
Pneumocystis Infections,fever,cough,difficulty_breathing,chest_pain,chills,fatigue,,,,,,,,,,,
Polio and Post-Polio Syndrome,sore_throat,fever,fatigue,nausea,headache,stomach_pain,,,,,,,,,,,
Post-COVID Conditions (Long COVID),fatigue,fever,difficulty_breathing,cough,chest_pain,palpitations,brain_fog,headaches,sleep_problems,diarrhea,stomach_pain,,,,,,
Post-Traumatic Stress Disorder,nightmares,frightening_thoughts,,,,,,,,,,,,,,,
Primary Ovarian Insufficiency,hot_flashes,night_sweats,irritability,poor_concentration,decreased_sex_drive,pain_during_sex,vaginal_dryness,,,,,,,,,,
Progressive Supranuclear Palsy,loss_of_balance,speech_problems,difficulty_swallowing,blurred_vision,eye_movement_problems,mood_changes,depression,apathy,mild_dementia,,,,,,,,
Prostate Cancer,weak_urine_stream,sudden_urge_to_urinate,frequent_urination,painful_urination,blood_in_urine,blood_in_semen,,,,,,,,,,,
Prostate Diseases,frequent_urination,urinary_urgency,urine_leakage,weak_urine_stream,,,,,,,,,,,,,
Reflux in Infants,back_arching,coughing,gagging,swallowing_difficulty,irritability,crying,poor_eating,weight_loss,wheezing,breathing_difficulty,forceful_vomiting,frequent_vomiting,,,,,
Respiratory Syncytial Virus Infections,runny_nose,decreased_appetite,cough,sneezing,fever,wheezing,,,,,,,,,,,
Rotator Cuff Injuries,pain_when_lying_down,difficulty_lifting_arm,difficulty_lowering_arm,difficulty_reaching_behind_back,,,,,,,,,,,,,
Sepsis,rapid_breathing,rapid_heart_rate,shortness_of_breath,confusion,disorientation,extreme_pain,fever,shivering,feeling_cold,clammy_skin,sweaty_skin,,,,,,
Sickle Cell Disease,painful_hand_swelling,painful_feet_swelling,fatigue,jaundice,,,,,,,,,,,,,
Sleep Disorders,difficulty_falling_asleep,excessive_daytime_sleepiness,frequent_naps,leg_jerking,dreamlike_experiences,sudden_muscle_weakness,sleep_paralysis,,,,,,,,,,
Stroke,sudden_numbness,sudden_weakness,sudden_confusion,speech_difficulty,sudden_vision_trouble,sudden_walking_difficulty,dizziness,loss_of_balance,sudden_severe_headache,,,,,,,,
Teen Depression,sadness,emptiness,hopelessness,irritability,anger,frustration,,,,,,,,,,,
Testicular Cancer,testicular_lump,testicular_swelling,change_in_testicle_feel,dull_abdominal_ache,groin_ache,scrotal_fluid_buildup,testicular_pain,,,,,,,,,,
Thyroid Cancer,neck_lump,difficulty_breathing,difficulty_swallowing,painful_swallowing,hoarseness,,,,,,,,,,,,
Tonsillitis,sore_throat,swollen_tonsils,red_tonsils,difficulty_swallowing,white_coating_on_tonsils,swollen_neck_glands,fever,bad_breath,,,,,,,,,
Tremor,rhythmic_shaking,shaky_voice,difficulty_writing,difficulty_holding_utensils,,,,,,,,,,,,,
Uterine Fibroids,heavy_periods,painful_periods,bleeding_between_periods,abdominal_fullness,frequent_urination,pain_during_sex,lower_back_pain,pregnancy_complications,,,,,,,,,
Vaginal Cancer,abnormal_vaginal_bleeding,vaginal_lump,pelvic_pain,pain_during_sex,painful_urination,constipation,blood_in_stool,blood_in_urine,,,,,,,,,
